"","Aa","Ab","Ac","Ad","Ae","Af","ST01","SU02","D03","ST04","SU05","D06","D07","SU08","ST09","SU10","D11","ST12","SU13","D14","D15","SU16","ST17","SU18","D19","ST20","SU21","D22","D23","SU24","ST25","SU26","D27","ST28","SU29","D30","D31","SU32","Ca","Cb","Cc","Cd","Ce","Cf","Cg","Ch","Da","Db","Dc","Dd","De","Df","Dg","Dh","Di","Dj","Age","Attitude","Points","gender","deep","surf","stra"
"1",3,1,2,1,1,1,4,2,4,4,2,4,4,3,3,2,3,3,3,4,3,2,3,2,4,2,3,3,2,2,4,4,4,4,3,4,4,3,2,4,3,4,3,2,3,4,3,4,4,5,4,2,4,3,4,4,53,37,25,"F",3.58333333333333,2.58333333333333,3.375
"2",2,2,2,2,1,1,4,2,4,4,4,2,3,4,4,1,4,1,3,2,3,4,4,2,3,1,2,2,3,4,2,4,2,2,3,3,4,5,4,4,4,5,5,3,2,4,4,3,3,4,3,2,3,3,2,4,55,31,12,"M",2.91666666666667,3.16666666666667,2.75
"3",4,1,1,1,1,1,3,1,4,4,2,3,4,1,3,1,4,4,2,4,2,3,3,1,4,3,2,4,3,3,4,4,3,5,2,4,3,5,3,5,4,4,3,4,4,2,1,4,4,1,4,1,3,1,1,5,49,25,24,"F",3.5,2.25,3.625
"4",4,2,3,2,1,1,3,3,4,4,3,4,4,2,3,1,3,3,2,4,3,2,3,1,3,3,3,3,3,2,3,2,3,3,3,4,4,3,3,4,4,4,3,4,4,3,2,4,5,2,5,1,5,4,2,5,53,35,10,"M",3.5,2.25,3.125
"5",3,2,2,1,2,1,4,2,5,3,4,4,4,3,4,2,4,2,3,4,3,3,4,1,4,3,2,3,3,4,4,3,3,5,3,3,4,4,2,4,4,3,3,3,4,4,3,4,4,4,4,2,5,5,3,3,49,37,22,"M",3.66666666666667,2.83333333333333,3.625
"6",4,2,1,1,1,1,4,3,5,4,3,5,5,4,4,1,5,3,1,5,4,2,3,2,4,3,4,5,4,2,4,2,5,4,2,5,5,3,3,5,4,4,3,4,5,4,3,5,4,4,4,3,4,3,3,5,38,38,21,"F",4.75,2.41666666666667,3.625
"7",4,1,2,2,1,1,5,2,4,2,2,3,4,4,2,1,5,2,1,5,2,3,4,1,4,1,1,4,3,2,1,1,4,1,1,4,4,4,4,5,4,4,4,5,5,3,2,4,4,5,5,1,4,4,2,4,50,35,21,"M",3.83333333333333,1.91666666666667,2.25
"8",3,1,2,1,1,1,4,2,4,5,4,3,4,2,4,2,3,4,2,4,2,3,3,2,4,4,3,2,2,4,4,4,4,4,2,3,4,4,2,4,4,5,3,3,3,3,2,4,4,3,4,1,4,1,1,5,37,29,31,"F",3.25,2.83333333333333,4
"9",2,1,2,1,1,1,4,1,5,5,2,4,5,4,4,1,4,4,1,4,3,4,4,1,5,4,2,4,4,2,4,4,5,5,1,4,5,3,3,5,4,5,3,3,5,5,4,2,4,5,4,4,5,4,4,2,37,38,24,"M",4.33333333333333,2.16666666666667,4.25
"10",3,2,1,1,1,2,4,2,4,4,4,4,4,2,4,2,4,4,2,4,4,4,4,2,4,2,4,4,4,4,4,4,4,2,2,4,4,4,2,4,4,5,4,4,4,4,1,4,4,2,2,1,1,1,1,4,42,21,26,"F",4,3,3.5
"11",2,2,2,2,2,2,4,2,4,4,4,4,4,2,4,2,4,4,3,4,3,3,3,2,3,3,2,3,4,4,3,2,3,4,2,3,4,4,3,3,4,4,4,3,3,3,3,4,5,4,4,4,4,4,3,4,37,39,31,"M",3.58333333333333,2.66666666666667,3.625
"12",5,1,2,1,1,1,5,1,4,5,3,4,4,1,5,2,4,4,1,4,4,4,5,1,3,4,2,3,3,4,5,4,5,5,1,3,5,5,3,4,5,3,5,3,4,3,3,4,4,5,4,2,3,5,4,4,34,38,31,"F",3.83333333333333,2.41666666666667,4.75
"13",4,1,3,1,1,2,5,2,5,4,2,4,5,1,4,2,5,4,2,5,4,1,3,2,4,3,2,4,4,2,4,4,4,2,3,3,4,4,3,5,5,3,4,4,4,3,2,4,3,1,4,1,2,2,1,4,34,24,23,"F",4.25,2.25,3.625
"14",2,1,3,1,1,1,4,4,3,3,2,4,4,2,4,1,2,3,2,4,2,3,4,2,4,2,4,4,2,4,4,4,2,4,3,5,4,2,2,5,2,3,3,4,5,4,2,5,5,2,4,1,3,2,1,5,34,30,25,"F",3.33333333333333,2.75,3.5
"15",4,1,1,1,1,1,3,1,5,2,2,4,4,4,2,1,4,1,2,4,4,2,3,2,5,1,2,5,2,2,1,4,3,1,2,5,5,4,3,1,3,4,2,4,2,4,2,2,4,1,2,5,2,3,1,4,35,26,21,"M",4.16666666666667,2.33333333333333,1.75
"16",4,2,3,2,1,1,3,2,4,5,2,4,3,2,5,2,4,3,3,4,4,3,2,1,3,4,1,4,4,3,5,4,4,4,2,2,4,3,3,4,4,2,3,2,4,3,4,4,4,5,4,2,4,5,5,4,33,41,31,"F",3.66666666666667,2.33333333333333,3.875
"17",3,1,1,1,1,1,3,2,5,2,3,4,5,4,1,3,4,1,2,5,3,4,1,3,3,1,1,5,5,3,1,5,2,1,2,4,4,3,3,5,3,3,4,3,5,3,2,4,3,4,3,1,3,1,1,4,32,26,20,"F",4.08333333333333,2.91666666666667,1.375
"18",3,2,2,1,1,1,4,2,5,4,2,4,4,2,4,2,4,2,3,4,4,3,3,3,4,3,1,2,1,3,3,4,4,3,3,2,4,2,2,4,4,3,2,2,3,4,2,3,4,2,3,2,3,3,2,2,44,26,22,"F",3.5,2.5,3.25
"19",2,1,1,1,1,1,4,3,4,4,4,3,4,4,2,4,4,3,4,4,4,4,3,1,4,2,4,4,5,4,4,5,4,2,4,4,5,4,2,5,4,4,4,4,3,4,1,2,2,2,2,1,2,1,1,3,29,17,9,"M",4.08333333333333,3.75,3
"20",3,1,2,1,1,1,4,3,5,5,2,4,5,4,4,1,4,4,2,4,4,2,2,2,4,4,2,4,4,3,4,4,4,3,4,4,2,4,4,5,4,4,4,4,5,3,2,4,4,2,4,1,4,1,1,4,30,27,24,"F",4,2.75,3.75
"21",4,4,4,4,4,4,3,2,4,3,2,4,4,4,3,2,4,2,1,4,3,2,3,1,4,2,1,4,4,3,3,4,4,2,2,4,4,4,3,4,4,3,4,3,4,4,4,4,4,4,4,3,4,5,3,4,27,39,28,"M",3.91666666666667,2.33333333333333,2.625
"22",3,2,2,2,1,2,4,2,4,2,3,4,4,4,2,1,4,3,2,4,4,3,2,1,4,2,4,4,4,2,2,2,4,2,2,4,4,3,3,5,4,3,2,4,3,3,3,4,4,3,4,2,3,4,3,4,29,34,30,"M",4,2.41666666666667,2.375
"23",4,1,2,1,1,1,5,4,5,5,1,3,4,3,4,2,5,3,2,5,4,3,2,3,5,4,3,4,2,3,2,5,4,4,3,3,4,4,2,5,3,4,5,3,5,3,2,4,4,2,3,1,3,2,2,4,31,27,24,"F",4,3,3.625
"24",3,2,2,1,1,1,4,4,5,3,2,3,4,2,2,1,5,4,2,4,2,2,5,1,4,1,4,5,3,1,1,4,2,2,2,3,4,4,5,5,5,3,5,2,3,4,3,2,4,2,3,1,3,1,1,3,37,23,9,"F",3.66666666666667,2.41666666666667,2.75
"25",2,2,1,1,1,1,2,2,5,2,2,4,4,4,4,1,4,1,5,4,2,4,2,1,4,1,2,2,4,2,1,5,3,1,2,4,4,4,1,4,2,5,4,2,4,2,2,5,5,5,5,2,4,2,2,5,26,37,26,"F",3.66666666666667,2.83333333333333,1.75
"26",3,1,2,1,1,1,3,4,5,3,3,5,5,2,4,2,5,3,3,5,2,5,4,2,5,3,1,3,5,5,3,3,5,3,3,3,5,5,3,5,5,3,5,2,3,4,4,5,5,5,5,2,4,5,4,5,26,44,32,"F",4.41666666666667,3.16666666666667,3.25
"27",2,2,1,1,1,1,5,4,5,4,4,4,4,1,4,4,4,4,3,4,2,4,3,1,4,4,2,4,4,4,5,4,4,3,1,4,4,4,4,5,5,4,4,4,5,4,4,5,5,4,5,2,4,3,4,5,30,41,32,"M",3.91666666666667,3,4
"28",3,1,2,1,1,1,4,1,5,4,2,4,4,2,4,2,3,2,2,4,3,1,2,1,3,5,3,3,3,2,4,2,4,4,2,4,5,4,4,5,4,3,4,3,3,4,4,4,3,5,4,4,2,1,5,5,33,37,33,"F",3.75,2,3.625
"29",2,2,3,2,1,3,3,4,4,3,4,4,3,1,3,3,3,2,4,4,3,4,4,3,4,2,4,3,2,3,4,5,2,2,3,3,4,4,4,4,3,4,5,1,2,5,1,3,3,4,3,1,3,2,2,3,33,25,29,"F",3.25,3.5,2.875
"30",2,4,2,2,1,2,4,4,4,3,3,5,4,2,4,4,5,2,4,4,2,5,5,3,4,2,2,3,4,5,2,5,2,2,3,2,4,5,5,4,5,3,5,4,4,4,4,3,4,2,4,2,4,2,2,3,28,30,30,"M",3.58333333333333,3.75,3
"31",1,1,1,1,1,1,2,4,5,2,4,5,5,1,4,1,5,1,1,5,5,1,1,4,4,1,5,5,5,1,1,1,5,1,2,5,5,5,5,5,5,5,5,5,5,5,1,5,5,4,5,1,4,3,1,5,26,34,19,"M",4.91666666666667,2.5,1.625
"32",4,1,1,1,1,1,5,2,5,2,2,4,4,2,4,1,3,4,2,5,2,1,4,1,4,1,2,4,3,2,4,4,2,2,2,3,4,4,4,5,4,4,4,2,5,4,3,4,4,4,4,1,4,4,2,2,27,32,23,"F",3.58333333333333,2.08333333333333,3.25
"33",3,2,2,1,2,3,4,1,3,4,2,3,4,2,2,3,3,4,3,4,2,2,3,1,3,3,2,3,3,3,4,5,2,4,2,3,2,3,3,4,3,3,4,2,3,2,2,3,2,1,2,1,2,2,1,4,25,20,19,"F",2.91666666666667,2.41666666666667,3.5
"34",4,3,1,1,1,1,4,2,4,4,2,4,3,3,3,1,4,3,3,4,4,3,3,1,4,3,3,3,3,3,2,4,3,2,2,4,4,4,3,5,4,2,4,4,4,4,2,4,4,1,2,1,2,2,1,5,31,24,12,"F",3.66666666666667,2.58333333333333,3
"35",2,5,4,5,5,4,4,1,5,4,2,4,5,2,3,1,5,3,1,4,4,1,3,1,4,3,1,4,5,1,4,3,4,2,2,5,5,3,3,5,3,2,3,4,5,3,3,4,5,4,5,3,4,5,4,5,20,42,10,"M",4.5,1.58333333333333,3.25
"36",4,4,5,5,5,5,5,1,4,4,1,5,3,3,1,5,5,1,5,5,3,1,1,1,4,1,1,5,2,1,1,5,3,1,5,5,5,5,4,4,2,2,2,2,1,5,1,4,4,1,1,1,1,1,1,1,39,16,11,"F",4.08333333333333,2.83333333333333,1.875
"37",4,1,2,1,1,1,5,2,4,5,2,4,4,2,4,1,4,4,2,4,4,1,4,1,4,4,2,4,4,2,4,4,4,5,1,3,3,2,2,4,4,4,3,4,4,3,3,4,4,2,4,2,4,2,2,4,38,31,20,"M",3.83333333333333,1.83333333333333,4.375
"38",3,3,1,1,2,3,4,5,4,5,2,3,5,1,4,2,2,5,4,4,2,1,2,1,3,3,2,3,2,2,2,5,3,4,2,4,4,2,1,4,3,3,4,4,3,2,4,5,5,5,4,1,3,4,2,5,24,38,26,"M",3.25,2.41666666666667,3.625
"39",2,3,3,4,1,4,4,4,4,2,2,1,2,2,2,2,2,2,4,4,1,4,2,4,2,3,1,1,2,4,4,5,3,1,2,4,2,5,4,5,2,2,3,2,3,4,4,4,5,4,4,2,3,5,4,3,26,38,31,"M",2.33333333333333,3.25,2.5
"40",4,1,2,1,1,2,2,3,4,1,4,4,5,4,1,4,2,2,2,4,5,4,1,4,2,1,1,2,2,4,1,5,2,1,2,4,4,4,2,5,4,5,4,2,4,3,3,5,4,2,4,2,3,3,2,5,25,33,20,"M",3.33333333333333,3.41666666666667,1.25
"41",4,2,2,1,2,1,4,4,5,5,3,4,4,2,4,3,4,3,4,4,5,2,3,4,5,5,3,3,2,2,5,5,5,3,5,3,5,4,1,4,3,3,4,4,4,5,2,4,2,1,1,1,1,1,1,3,30,17,23,"F",4.08333333333333,3.41666666666667,4
"42",3,2,1,1,1,2,4,2,4,4,4,4,3,4,2,2,2,2,2,4,2,4,4,2,2,2,2,2,2,4,4,4,2,2,4,4,4,4,4,5,3,4,4,3,4,4,2,4,4,1,2,1,3,2,1,5,25,25,12,"F",2.91666666666667,3.16666666666667,3
"43",4,5,5,4,5,5,3,5,3,2,2,4,4,4,2,2,3,2,4,4,3,4,2,3,3,5,1,3,3,5,3,4,3,1,4,4,3,4,4,5,2,4,4,3,4,4,3,4,4,3,4,2,3,3,2,4,30,32,24,"M",3.33333333333333,3.5,2.5
"44",2,1,2,1,1,1,5,1,5,5,4,4,5,2,5,1,5,5,4,4,2,1,5,2,5,4,2,4,2,2,5,5,4,5,3,1,5,5,4,5,5,2,5,2,4,5,2,5,5,2,5,1,4,4,2,5,48,35,17,"F",3.83333333333333,2.66666666666667,4.875
"45",3,1,2,1,1,2,5,4,4,5,2,3,4,1,5,2,4,5,3,4,3,1,5,1,4,5,3,4,3,2,5,4,3,5,3,4,4,3,2,5,5,3,4,3,4,3,4,5,5,2,4,1,4,2,1,4,24,32,29,"F",3.66666666666667,2.41666666666667,5
"46",4,1,1,1,1,1,5,5,5,5,4,5,5,3,4,1,4,5,4,5,4,4,4,2,4,5,4,5,4,4,3,4,5,4,4,5,5,4,3,5,4,4,3,4,4,3,4,5,5,4,5,2,5,3,4,5,40,42,23,"F",4.66666666666667,3.58333333333333,4.375
"47",2,1,1,1,1,1,5,2,5,2,2,5,5,1,2,1,4,4,4,4,2,1,2,1,1,5,3,5,2,2,4,4,2,2,2,5,5,2,3,5,5,4,4,4,5,4,4,5,4,4,4,1,2,1,1,5,25,31,28,"M",3.75,2.08333333333333,3.25
"48",2,1,2,1,1,1,4,3,4,4,4,5,2,1,5,4,4,4,4,3,3,3,4,4,4,3,4,3,4,4,5,5,3,3,4,3,3,5,5,4,4,4,5,3,3,5,4,5,5,4,5,2,4,2,3,5,23,39,31,"F",3.41666666666667,3.75,4
"49",5,1,2,1,1,1,5,2,4,5,3,5,4,3,2,2,4,1,3,4,4,3,3,1,3,1,2,5,4,4,4,5,4,4,3,5,4,4,3,5,5,3,2,3,3,4,1,2,1,1,1,1,1,5,5,1,25,19,23,"F",4.16666666666667,2.91666666666667,3.125
"50",4,2,3,2,1,1,2,1,3,2,2,2,1,4,2,2,4,2,2,4,2,2,4,1,1,2,4,2,4,5,4,5,4,2,2,3,5,5,5,3,4,5,5,2,2,5,1,2,2,4,2,1,1,2,1,5,23,21,25,"F",2.91666666666667,2.91666666666667,2.5
"51",2,1,1,1,1,1,3,5,5,5,2,3,4,3,2,1,4,2,1,4,5,2,3,1,5,5,4,5,2,1,4,2,3,1,3,5,5,4,3,4,3,5,5,5,5,3,1,5,4,3,2,1,2,1,1,5,27,25,18,"M",4.16666666666667,2.41666666666667,3.125
"52",4,1,2,2,3,2,4,4,4,2,2,4,3,2,4,1,3,2,4,4,4,2,4,3,4,4,1,3,3,4,4,5,3,2,3,4,4,5,1,5,4,2,3,3,3,3,2,4,4,4,4,1,3,3,3,4,25,32,19,"M",3.58333333333333,3,3.25
"53",4,1,1,1,1,2,4,2,3,2,4,2,4,4,2,1,3,2,4,4,4,5,4,1,3,1,4,1,2,4,1,5,3,1,3,3,2,4,1,4,4,2,4,1,3,4,3,2,2,5,2,3,2,5,4,4,23,32,22,"M",2.83333333333333,3.41666666666667,2.125
"54",3,2,2,1,1,1,4,4,5,2,2,4,4,2,4,1,4,1,2,4,4,2,4,2,5,2,3,4,2,4,4,5,3,1,3,4,5,5,4,5,4,5,5,3,5,4,1,4,3,4,4,1,1,1,2,5,23,26,25,"F",4,2.91666666666667,2.75
"55",3,2,1,1,2,2,3,4,4,2,2,3,4,4,1,3,4,3,2,4,3,4,4,2,2,1,3,2,2,4,3,5,3,2,2,2,2,4,2,4,4,4,3,3,4,4,2,3,2,3,3,1,3,2,2,2,23,23,21,"F",2.91666666666667,3.25,2.375
"56",4,1,2,1,1,1,4,4,4,4,2,2,5,2,4,2,2,2,4,5,1,2,4,5,4,1,2,5,2,2,4,5,2,2,4,2,2,5,4,5,4,1,5,4,4,4,4,5,5,4,5,1,4,3,2,5,45,38,9,"F",3,3.25,3.125
"57",3,1,4,2,1,1,5,1,5,5,2,4,4,1,3,1,5,4,3,5,4,4,3,1,4,4,2,4,3,4,5,4,3,3,1,3,5,4,1,5,5,3,4,3,4,3,4,4,2,3,2,1,2,2,4,4,22,28,28,"F",4.08333333333333,2.33333333333333,4
"58",2,1,2,1,1,1,5,2,4,2,4,3,5,2,4,1,3,5,3,4,2,5,3,1,4,4,2,1,2,5,4,5,2,5,4,1,4,5,5,5,4,5,5,2,3,5,2,2,2,5,3,2,2,5,5,5,23,33,25,"F",2.91666666666667,3.25,4
"59",4,2,3,3,1,3,2,2,4,1,1,4,3,4,2,1,3,4,3,4,4,3,2,1,2,1,1,4,2,3,5,4,3,1,3,5,4,4,3,5,3,4,4,4,5,2,4,5,5,5,5,4,5,5,5,5,21,48,29,"M",3.5,2.5,2.25
"60",3,1,1,1,1,1,4,2,5,3,1,5,5,1,3,1,3,3,2,4,4,2,3,1,3,3,1,5,3,2,4,3,5,3,1,5,5,4,1,4,3,3,4,2,3,2,4,3,4,5,4,3,4,4,5,4,21,40,33,"M",4.33333333333333,1.75,3.25
"61",3,3,2,2,1,1,4,2,5,3,2,4,4,3,4,1,4,4,1,5,4,3,3,2,4,4,2,5,4,3,4,2,3,3,2,4,5,4,3,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,21,40,33,"F",4.25,2.25,3.625
"62",3,1,1,1,1,1,4,1,5,2,2,2,4,4,5,1,4,4,1,5,2,2,4,1,2,3,2,3,4,2,5,4,3,2,1,5,2,4,2,4,4,2,4,2,5,2,5,5,5,4,5,4,5,5,4,5,21,47,25,"F",3.41666666666667,2.08333333333333,3.625
"63",2,1,1,1,1,2,4,4,5,2,2,2,2,2,2,2,4,2,2,2,2,4,4,2,4,1,1,4,2,4,4,5,4,1,2,2,4,4,2,5,5,4,5,2,5,5,2,3,2,4,2,1,2,2,2,3,26,23,18,"F",3.08333333333333,2.83333333333333,2.5
"64",1,2,1,1,1,1,4,2,5,2,4,5,5,2,2,1,5,1,4,4,4,3,2,1,4,2,2,4,5,2,1,4,4,1,4,5,5,5,2,5,3,2,5,5,5,2,2,5,5,2,4,1,4,2,1,5,25,31,22,"F",4.58333333333333,2.83333333333333,1.875
"65",4,2,2,1,2,1,2,2,4,1,2,3,4,2,1,1,2,2,2,4,4,2,2,2,4,2,4,4,1,2,4,4,2,2,2,5,4,4,2,4,4,2,4,4,4,4,2,4,4,2,2,1,2,4,2,4,26,27,17,"F",3.41666666666667,2.41666666666667,2
"66",4,1,2,2,2,2,3,1,4,2,2,2,4,4,3,2,4,1,2,3,3,2,2,1,4,1,1,4,3,2,2,5,3,1,1,3,4,4,3,4,3,3,4,3,5,4,3,4,4,5,4,5,3,5,4,4,21,41,25,"M",3.41666666666667,2.25,1.875
"67",3,2,2,1,1,1,4,2,5,4,4,4,2,2,4,1,4,5,4,4,3,2,4,1,4,3,4,3,2,4,4,3,2,4,3,4,4,4,1,5,4,1,4,4,4,4,2,4,5,3,5,1,4,3,3,4,23,34,28,"F",3.41666666666667,2.83333333333333,4
"68",3,2,1,1,1,2,4,1,4,2,2,4,4,2,3,1,3,4,2,4,3,2,2,1,5,2,3,3,2,2,4,4,4,2,3,3,4,4,3,5,4,3,5,2,4,2,3,4,2,1,3,1,2,3,2,4,22,25,22,"F",3.58333333333333,2.25,2.875
"69",1,2,2,1,1,1,1,1,1,4,2,1,2,2,5,3,2,5,1,2,2,3,3,1,1,4,4,2,2,2,5,1,1,4,1,2,1,1,1,1,3,2,2,4,3,1,2,1,1,1,1,5,2,5,2,1,22,21,26,"F",1.58333333333333,1.83333333333333,3.875
"70",2,1,1,1,1,1,2,4,5,2,2,3,4,4,2,2,4,4,3,4,2,3,4,1,3,1,2,3,2,4,4,4,2,1,2,4,4,4,3,1,2,3,1,3,1,3,1,1,3,1,2,1,1,1,1,2,22,14,11,"F",3.33333333333333,2.91666666666667,2.5
"71",1,2,3,2,1,1,4,4,5,2,2,4,5,2,2,3,5,2,2,5,4,2,3,3,5,2,4,4,4,2,5,5,3,2,3,4,4,3,2,4,5,2,2,1,5,4,2,4,3,2,1,1,2,1,1,2,23,19,29,"F",4.33333333333333,2.91666666666667,2.75
"72",2,1,2,1,1,2,5,1,4,4,4,4,5,2,4,2,4,5,1,5,4,2,4,1,4,4,2,4,5,2,5,2,4,5,2,5,5,4,2,5,4,2,4,4,5,4,4,4,4,1,4,3,3,5,4,5,22,37,22,"M",4.41666666666667,2.08333333333333,4.5
"73",3,1,1,1,1,1,4,1,5,4,3,5,5,1,4,1,5,3,1,5,5,2,3,1,5,4,4,5,4,4,4,4,4,1,1,5,5,5,1,5,3,1,4,3,5,3,1,4,3,5,3,4,2,4,2,4,23,32,21,"M",4.83333333333333,2.33333333333333,3.375
"74",4,1,2,1,1,1,4,2,4,2,1,3,2,4,2,1,5,3,3,2,3,2,3,2,3,4,2,3,4,2,1,4,3,2,3,1,4,3,2,5,5,3,4,2,4,3,4,3,4,2,3,2,3,2,2,3,24,28,28,"M",3.08333333333333,2.41666666666667,2.625
"75",5,2,3,1,1,1,2,5,4,4,3,2,2,1,5,3,4,5,2,3,3,1,4,4,4,5,2,2,2,1,5,5,4,3,2,2,4,4,1,5,4,4,4,3,3,3,4,4,5,5,3,4,4,4,3,5,22,41,33,"F",3,2.75,4.125
"76",2,1,1,1,1,1,4,4,4,3,4,5,4,2,2,1,4,4,3,5,4,4,4,2,4,1,3,4,3,4,1,5,4,2,2,3,5,5,5,5,3,3,5,2,4,5,2,5,4,1,4,1,1,1,1,5,23,25,16,"F",4.08333333333333,3.25,2.625
"77",5,2,1,1,1,1,4,1,5,2,1,3,5,1,2,1,5,2,1,5,2,3,2,1,2,4,1,4,5,3,1,5,4,1,1,5,4,2,1,5,4,3,3,4,5,4,3,4,3,3,1,1,3,5,2,3,22,28,31,"M",4.08333333333333,1.75,2.25
"78",2,5,4,4,5,4,4,1,4,4,2,4,4,2,2,2,4,4,4,3,4,4,3,1,4,2,1,3,3,2,1,5,4,2,2,4,4,5,4,4,2,5,5,3,5,4,3,4,3,4,3,4,3,5,4,5,20,38,22,"M",3.75,2.58333333333333,2.75
"79",3,3,3,2,1,3,4,5,4,2,3,3,3,2,4,4,4,3,3,3,2,2,2,4,4,4,2,2,2,5,4,4,4,1,2,3,3,4,3,4,4,4,4,2,3,5,3,4,3,4,3,2,2,3,4,3,22,31,31,"M",3.08333333333333,3.33333333333333,3
"80",4,1,1,1,1,1,3,3,5,1,3,5,5,4,2,3,5,1,3,5,4,1,3,1,5,1,2,5,5,2,1,3,3,1,4,5,5,5,4,5,4,1,2,5,5,4,3,3,5,4,5,1,3,3,3,5,21,35,23,"M",4.75,2.83333333333333,1.625
"81",5,1,2,2,1,1,3,2,5,3,2,4,5,4,2,1,5,2,2,4,5,3,2,4,4,1,2,4,3,2,1,4,4,1,2,4,4,2,1,5,4,4,2,5,5,3,3,4,5,3,4,3,4,2,3,5,22,36,26,"F",4.25,2.5,1.875
